po_id,supplier,order_date,delivery_date,item_category,order_status,quantity,unit_price,negotiated_price,defective_units,compliance,defect_data_missing,delivery_date_issue,total_order_value,negotiated_total,savings_amount,savings_pct,lead_time_days,order_year,order_quarter,order_month,defect_rate,on_time,compliant,lead_time_category
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,0,Yes,FALSE,Nothing,23672.879999999997,20944.559999999998,2728.3199999999997,11.525086934923003,8,2023,4,2023-10-01,0,On Time,1,Short
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235,Yes,FALSE,Nothing,59333.88,56346.060000000005,2987.8199999999924,5.035605289928782,10,2022,2,2022-04-01,15.573227302849569,On Time,1,Short
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41,Yes,FALSE,Nothing,86914.1,83956.6,2957.5,3.4027850486860016,20,2022,1,2022-01-01,4.5054945054945055,Slightly Late,1,Moderate
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112,Yes,FALSE,Nothing,134198.4,128378.87999999999,5819.520000000004,4.336504757135702,19,2022,4,2022-10-01,8.333333333333332,Slightly Late,1,Moderate
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171,No,FALSE,Nothing,75602.59999999999,71425.4,4177.199999999997,5.525206805056957,12,2022,3,2022-09-01,14.491525423728813,On Time,0,Short
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39,Yes,FALSE,Nothing,79245.45,72787.65,6457.800000000003,8.149111400086683,12,2022,3,2022-08-01,3.406113537117904,On Time,1,Short
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96,No,FALSE,Nothing,91130.37999999999,84832.68000000001,6297.6999999999825,6.910648238271359,11,2022,2,2022-05-01,5.411499436302142,On Time,0,Short
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22,Yes,FALSE,Nothing,40401.42,35861.32,4540.0999999999985,11.237476306525856,14,2022,2,2022-04-01,2.010968921389397,On Time,1,Short
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89,Yes,FALSE,Nothing,74153.84,67334.32,6819.5199999999895,9.196448895970862,4,2023,4,2023-11-01,5.2725118483412325,On Time,1,Short
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8,Yes,FALSE,Nothing,13144.77,12004.2,1140.5699999999997,8.676987121113571,12,2023,3,2023-07-01,4.678362573099415,On Time,1,Short
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18,Yes,FALSE,Nothing,392450,368400.00000000006,24049.99999999994,6.128169193527823,15,2022,1,2022-03-01,0.36,Slightly Late,1,Moderate
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115,Yes,FALSE,Nothing,444799.99999999994,432900,11899.999999999942,2.675359712230211,14,2023,3,2023-08-01,2.3,On Time,1,Short
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51,Yes,FALSE,Nothing,433700,374300,59400,13.69610329721005,17,2023,1,2023-03-01,1.02,Slightly Late,1,Moderate
PO-00014,Beta_Supplies,2022-02-02,NA,MRO,Delivered,5000,18.3,16.88,0,Yes,FALSE,Missing for delivered,91500,84400,7100,7.759562841530064,NA,2022,1,2022-02-01,0,NA,1,NA
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22,Yes,FALSE,Nothing,272500,242250,30250,11.100917431192656,18,2022,1,2022-01-01,0.44,Slightly Late,1,Moderate
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,0,Yes,FALSE,Nothing,77050,75600,1450,1.881894873458799,15,2022,2,2022-04-01,0,Slightly Late,1,Moderate
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172,No,FALSE,Nothing,72186.42,65089.770000000004,7096.649999999994,9.831004224894373,19,2022,3,2022-08-01,14.663256606990622,Slightly Late,0,Moderate
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,0,Yes,FALSE,Nothing,47413.079999999994,46611.81,801.2699999999968,1.689976689976685,8,2022,3,2022-08-01,0,On Time,1,Short
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79,Yes,FALSE,Nothing,169409.61000000002,151761.69,17647.920000000013,10.4173074951297,3,2023,2,2023-06-01,4.548071387449626,On Time,1,Short
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,0,No,FALSE,Nothing,8233.2,7000.2,1233.000000000001,14.975951027547008,15,2023,3,2023-09-01,0,Slightly Late,0,Moderate
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49,Yes,FALSE,Nothing,35636.9,34162.15,1474.75,4.1382667964946345,15,2022,1,2022-01-01,2.824207492795389,Slightly Late,1,Moderate
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,0,Yes,FALSE,Nothing,34453.26,32822.5,1630.760000000002,4.733253108704371,13,2023,3,2023-07-01,0,On Time,1,Short
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29,Yes,FALSE,Nothing,66248.91,63087.57,3161.340000000004,4.771912473729756,16,2022,3,2022-07-01,3.5409035409035408,Slightly Late,1,Moderate
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42,No,FALSE,Nothing,28504.29,26059.83,2444.459999999999,8.575761753757066,6,2023,4,2023-10-01,10.687022900763358,On Time,0,Short
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161,Yes,FALSE,Nothing,33334.5,31440.85,1893.6500000000015,5.6807511737089245,12,2023,4,2023-12-01,10.287539936102236,On Time,1,Short
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,0,Yes,FALSE,Nothing,28476.05,25635.879999999997,2840.170000000002,9.973890339425589,11,2023,3,2023-07-01,0,On Time,1,Short
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17,Yes,FALSE,Nothing,66861,57421.799999999996,9439.200000000004,14.117647058823538,20,2023,1,2023-03-01,1.9883040935672516,Slightly Late,1,Moderate
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8,Yes,FALSE,Nothing,7451.549999999999,6890.4,561.1499999999996,7.5306479859894875,9,2022,3,2022-08-01,1.839080459770115,On Time,1,Short
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187,Yes,FALSE,Nothing,114178.90000000001,100529.55,13649.350000000006,11.954354088189682,17,2023,2,2023-04-01,14.782608695652174,Slightly Late,1,Moderate
PO-00030,Epsilon_Group,2023-08-27,NA,MRO,Delivered,1005,80.55,73.31,30,Yes,FALSE,Missing for delivered,80952.75,73676.55,7276.199999999997,8.988206083178143,NA,2023,3,2023-08-01,2.9850746268656714,NA,1,NA
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,0,No,FALSE,Nothing,5900.6,5189.92,710.6800000000003,12.044198895027632,14,2022,4,2022-10-01,0,On Time,0,Short
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26,Yes,FALSE,Nothing,21767.760000000002,19324.44,2443.3200000000033,11.22448979591837,8,2022,1,2022-01-01,2.106969205834684,On Time,1,Short
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19,Yes,FALSE,Nothing,51546.43,49790.38,1756.050000000003,3.406734472203025,16,2022,2,2022-06-01,3.732809430255403,Slightly Late,1,Moderate
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27,Yes,FALSE,Nothing,67560.77,60625.770000000004,6935,10.264832683227263,1,2023,4,2023-12-01,1.9466474405191059,On Time,1,Short
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0,Yes,FALSE,Nothing,3293.69,3065.78,227.90999999999985,6.919594740245745,8,2023,1,2023-03-01,0,On Time,1,Short
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9,Yes,FALSE,Nothing,26494.460000000003,24619.039999999997,1875.4200000000055,7.078536418556945,8,2022,4,2022-12-01,2.980132450331126,On Time,1,Short
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18,Yes,FALSE,Nothing,79333.38,72821.89,6511.490000000005,8.207755676110109,19,2022,4,2022-10-01,2.258469259723965,Slightly Late,1,Moderate
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94,Yes,FALSE,Nothing,91696.26,82355.40000000001,9340.859999999986,10.186740440667908,18,2022,2,2022-06-01,10.375275938189846,Slightly Late,1,Moderate
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50,Yes,FALSE,Nothing,131586.02,124429.1,7156.919999999984,5.438966844654161,14,2022,3,2022-08-01,3.0599755201958385,On Time,1,Short
